objectid,filename,title,format,description,creator,date,date-is-approximate?,subject,location,latitude,longitude,publisher-digital,original-identifier,rights,generaluseinformation,commercialuseinformation,rightsstatement,type,language
UA041202606019441,UA041202606019441.jpg,"Dress: Bejeweled Evening Gown, 1-Front",image/jpeg,Front view of floor length evening gown with multicolored sequins embellishing the v-neckline and sleeve cuffs. A concealed zipper and a hook and eye function as the back center closure. Front of dress bodice is fitted with princess seams. ,unknown,1960,yes,dresses; evening gown; ankle length; set-in sleeve; sequins; v-neckline; closure type,,,,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
UA041202606019447,UA041202606019447.jpg,"Dress: Bejeweled Evening Gown, 2-Back",image/jpeg,Back of floor length evening gown with multicolored sequins embellishing the v-neckline and sleeve cuffs. A concealed zipper and a hook and eye function as the back center closure. Front of dress bodice is fitted with princess seams. ,unknown,1960,yes,dresses; evening gown; ankle length; set-in sleeve; sequins; v-neckline; closure type,,,,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
UA041202606019455,UA041202606019455.jpg,"Dress: Bejeweled Evening Gown, 3-Detail",image/jpeg,Detail of floor length evening gown with multicolored sequins embellishing the v-neckline and sleeve cuffs. A concealed zipper and a hook and eye function as the back center closure. Front of dress bodice is fitted with princess seams. ,unknown,1960,yes,dresses; evening gown; ankle length; set-in sleeve; sequins; v-neckline; closure type,,,,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
UA041202606019421,UA041202606019421.jpg,"Coat: Boiled Wool, 1-Front",image/jpeg,"Front view of cream mohair coat. Calf length, single-breasted, cream-colored duster style coat with front closure buttons, and one side seam pocket on the left. Neckline is a combined collar: mandarin collar with a sailor style collar. The back of the sailor collar features whitework with floral cutwork and embroidered embellishments. Purchased at Ball Stores Collegienne Shops in Muncie, Inidiana.",Nipon Coature,1970,yes,coats; duster coat; calf length; single-breasted; wool; floral; mandarin collar;sailor collar; buttons; whitework; cutwork; embroidery; closure; set-in sleeve; Ball Stores,"Muncie, IN",40.191891,-85.401695,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
UA041202606019423,UA041202606019423.jpg,"Coat: Boiled Wool, 2-Back",image/jpeg,"Back view of cream mohair coat. Calf length, single-breasted, cream-colored duster style coat with front closure buttons, and one side seam pocket on the left. Neckline is a combined collar: mandarin collar with a sailor style collar. The back of the sailor collar features whitework with floral cutwork and embroidered embellishments. Purchased at Ball Stores Collegienne Shops in Muncie, Inidiana.",Nipon Coature,1970,yes,coats; duster coat; calf length; single-breasted; wool; floral; mandarin collar;sailor collar; buttons; whitework; cutwork; embroidery; closure; set-in sleeve; Ball Stores,"Muncie, IN",40.191891,-85.401695,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
UA041202606019432,UA041202606019432.jpg,"Coat: Boiled Wool, 3-Detail",image/jpeg,"Detail view of cream mohair coat. Calf length, single-breasted, cream-colored duster style coat with front closure buttons, and one side seam pocket on the left. Neckline is a combined collar: mandarin collar with a sailor style collar. The back of the sailor collar features whitework with floral cutwork and embroidered embellishments. Purchased at Ball Stores Collegienne Shops in Muncie, Inidiana.",Nipon Coature,1970,yes,coats; duster coat; calf length; single-breasted; wool; floral; mandarin collar;sailor collar; buttons; whitework; cutwork; embroidery; closure; set-in sleeve; Ball Stores,"Muncie, IN",40.191891,-85.401695,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
UA.041-202606010856,UA041202606010856.jpg,"Coat: Boiled Wool, 4-Labels",image/jpeg,Labels Transcribed: Ball Stores | collegienne shops | Nipon Couture,Nipon Coature,1970,yes,coats; duster coat; calf length; single-breasted; wool; floral; mandarin collar;sailor collar; buttons; whitework; cutwork; embroidery; closure; set-in sleeve; Ball Stores,"Muncie, IN",40.191891,-85.401695,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
UA041202607019652,UA041202607019652.jpg,"Headwear: Bonnet, 1-Front",image/jpeg,"Back view of a handmade bonnet. Bonnet material is bleached white cotton and muslin (now discolored) with small, four-holed shell buttons that attach the caul to the brim. Buttons are engraved with a flower petal design around the button holes. Both the caul and brim are edged with a ruffle. Pintucks decorate the caul. Bonnett could be secured to the head of the wearer with the ties. By the turn of the century (years surrounding 1900 CE), bonnets were popular, especially for older women or married women who preferred to cover their hair which conformed to  style throughout the nineteenth century. This bonnet belonged to Helen Mauck Ball (1886-1984). Helen was the wife of Dr. Clay Adra Ball, MD (1877-1980) who was a Ball descendent of ""The Old and Original Muncie Ball Family"" of doctors and lawyers. This line of Ball surnames was original to Muncie and not related to the Ball Brothers who founded the Ball Corporation. The Ball Brother moved to Muncie, Indiana from Buffalo, New York. ",unknown,1900,yes,accessories; hats; bonnet; cotton; muslin; buttons; floral; turn of the century style; handmade; ruffles; pintucks; Ball Family,,,,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
UA041202607019655,UA041202607019655.jpg,"Headwear: Bonnet, 2-Back",image/jpeg,"Back view of a handmade bonnet. Bonnet material is bleached white cotton and muslin (now discolored) with small, four-holed shell buttons that attach the caul to the brim. Buttons are engraved with a flower petal design around the button holes. Both the caul and brim are edged with a ruffle. Pintucks decorate the caul. Bonnett could be secured to the head of the wearer with the ties. By the turn of the century (years surrounding 1900 CE), bonnets were popular, especially for older women or married women who preferred to cover their hair which conformed to  style throughout the nineteenth century. This bonnet belonged to Helen Mauck Ball (1886-1984). Helen was the wife of Dr. Clay Adra Ball, MD (1877-1980) who was a Ball descendent of ""The Old and Original Muncie Ball Family"" of doctors and lawyers. This line of Ball surnames was original to Muncie and not related to the Ball Brothers who founded the Ball Corporation. The Ball Brother moved to Muncie, Indiana from Buffalo, New York. ",unknown,1900,yes,accessories; hats; bonnet; cotton; muslin; buttons; floral; turn of the century style; handmade; ruffles; pintucks; Ball Family,,,,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
UA041202606019467,UA041202606019467.jpg,"Dress: Lace Evening Gown, 1-Front",image/jpeg,"Front view of a brown lace and velvet evening gown. Gown is backless and closes on the left side with snaps. Front of dress has a shallow v-neckline that plunges down the back in a deep v-shape. Dress back inclues a wide velevet panel extending from the waistline to the hemline.Dress bodice is fitted and the skirt flares out slight at the hemline. A slip would have been worn underneath the dress.This dress was worn by Mrs. W. W. Huntley, the grandmother of Mrs. Frances Petty Sargent. Frances (Bramble) Petty Sargent (1940-2017). After marrying Edmund F. Petty (1928-1985) in 1967, Frances became a well-known philanthropist, volunteer, and beloved community member in Muncie, Indiana and at Ball State University. ",unknown,1930,yes,dresses; evening gown; ankle length; set-in sleeve; lace; velvet; v-neckline; closure type; Ball Family; Ball State Univeristy,,,,"Ball State University, Digital Media Repository, https://dmr.bsu.edu/digital/collection/BmnHis",Beeman number,"In Copyright
This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, you need to obtain permission from the rights-holder(s).",Please contact the Ball State University Libraries Copyright Office at copyright@bsu.edu or 765-285-5330 for guidance and suggestions regarding copyright and fair use. Our statement regarding copyright and usage is available at: https://dmr.bsu.edu/digital/about.,"Commercial use of this asset is prohibited without permission from Ball State University's Department of Applied Business Studies unless it is determined to be out of copyright or in the public domain. Please direct all commercial requests to the BSU Department of Applied Business Studies, appliedbusiness.dept@bsu.edu or (765) 285-1460.",This archival material has been provided for educational purposes. Ball State University Libraries recognizes that some historic items may include offensive content. Our statement regarding objectionable content is available at: https://dmr.bsu.edu/digit,Image;StillImage,eng
